asin,reviewText,summary,size,color,image_urls,overall
B000K2PJ4K,Great product and price!,Five Stars, Big Boys, Blue/Orange,,5
B000K2PJ4K,Great product and price!,Five Stars, Big Boys, Black (37467610) / Red/White,,5
B000K2PJ4K,Great product and price!,Five Stars, Big Boys, Blue/Gray Logo,,5
B000K2PJ4K,Great product and price!,Five Stars, Big Boys, Blue (37867638-99) / Yellow,,5
B000K2PJ4K,Great product and price!,Five Stars, Big Boys, Blue/Pink,,5
B000K2PJ4K,Waaay too small. Will use for futur children!,Oops!, Little Boys, White/Black,,3
B000K2PJ4K,Stays vibrant after many washes,Great, Little Boys, Blue/Orange,,5
B000K2PJ4K,Stays vibrant after many washes,Good, Little Boys, Blue (37867638-99) / Yellow,,5
B000K2PJ4K,My son really likes the pink. Ones which I was nervous about,Great, Little Boys, Blue/Pink,,5
B000K2PJ4K,Waaay too small. Will use for future child.,Oops!, Little Boys, Light Blue/Red,,3
B000KPIHQ4,Relieved my Plantar Fascitis for 3 Days. Then the unbearable pain returned in full force. These were recommended by my Podiatrist.,These were recommended by my Podiatrist," Men's 6-6.5, Women's 8-8.5", Pinnacle,,2
B000KPIHQ4,"This is my 6th pair and they are the best thing ever for my plantar fasciitis and resultant neuromas. Unfortunately, the ones I ordered from SmartDestination must be seconds as they kill my feet. The hard plastic insert rubs on the outside edges of my feet. I am unable to exchange them as I waited one day too late to use them in my walking shoes.",Not the same as all my other pairs.," Men's 8-8.5, Women's 10-10.5", Pinnacle,,2
B000KPIHQ4,We have used these inserts for years.  They provide great support.,Great inserts,,,,5
B000KPIHQ4,"Pinnacle seems to have more cushioning so my husband likes them better. He's tried all the other Powerstep inserts as well as other brands. This is his must have insert. He is 6'3"" and weighs 257lbs with bone spurs (plantar fasciitis) and a high instep. He is very active and wears these in all his shoes. His bone spurs rarely bother him any more. Remember to replace them every 3 months if you wear them every day, especially if you weigh more than average and/or run.",Personal favorite,,,,5
B000KPIHQ4,Excellent insole with good support.,Five Stars,,,,5
B000KPIHQ4,A little more cushion than the Powerstep Protech but the arch is maybe just a little lower. We love both styles. Excellent for plantar fasciitis and neuromas.,Great comfort!,,,,5
B000KPIHQ4,These insoles help my heels feel much better.  I would never wear a pair of athletic shoes with the original insoles.,These insoles help my heel feels much better. I would never wear a pair of athletic ...,,,,5
B000V0IBDM,Relieved my Plantar Fascitis for 3 Days. Then the unbearable pain returned in full force. These were recommended by my Podiatrist.,These were recommended by my Podiatrist,,,,2
B000V0IBDM,"This is my 6th pair and they are the best thing ever for my plantar fasciitis and resultant neuromas. Unfortunately, the ones I ordered from SmartDestination must be seconds as they kill my feet. The hard plastic insert rubs on the outside edges of my feet. I am unable to exchange them as I waited one day too late to use them in my walking shoes.",Not the same as all my other pairs.,,,,2
B000V0IBDM,We have used these inserts for years.  They provide great support.,Great inserts,,,,5
B000V0IBDM,"Pinnacle seems to have more cushioning so my husband likes them better. He's tried all the other Powerstep inserts as well as other brands. This is his must have insert. He is 6'3"" and weighs 257lbs with bone spurs (plantar fasciitis) and a high instep. He is very active and wears these in all his shoes. His bone spurs rarely bother him any more. Remember to replace them every 3 months if you wear them every day, especially if you weigh more than average and/or run.",Personal favorite,,,,5
B000V0IBDM,Excellent insole with good support.,Five Stars,,,,5
B000V0IBDM,A little more cushion than the Powerstep Protech but the arch is maybe just a little lower. We love both styles. Excellent for plantar fasciitis and neuromas.,Great comfort!,,,,5
B000V0IBDM,These insoles help my heels feel much better.  I would never wear a pair of athletic shoes with the original insoles.,These insoles help my heel feels much better. I would never wear a pair of athletic ...,,,,5
B000YFSR5G,Waaaay too BIG,One Star, X-Large, Charcoal Heather,,1
B000YFSR5G,Comfortable,Five Stars, XX-Large, Deep Royal,,5
B000YFSR4W,"great price for the product, though the sizes tend to be bigger (based on mens size i think).  there wasn't a size chart to refer to when i was ordering, so i ended up buying two, each at a difference size.",size runs big,,,,4
B000YFSR5G,Good product for the price.  Used very day and no problem.,Five Stars, X-Large, Navy,,5
B000YFSR5G,Good fit even after washing in hot water to force shrinking. I have a 30 inch inseam and 34 waist and got a medium size. Note that these sweatpants are very thick so not good for warm climates. Good quality and great price.,Good fit, Medium, Light Steel,,5
B000YFSR4W,Waaaay too BIG,One Star, X-Large, Charcoal Heather,,1
B000YFSR5G,Excellent value.  Comfortable.,Excellent Product, X-Large, Light Steel,,5
B000YFSR5G,"Typical Hanes quality. Good weight, sized just right, made pretty well",Typical Quality, XXX-Large, Deep Royal,,5
B000YFSR5G,"The waist string broke first time trying them on. Luckily I don't really need the wast string but it would be nice if it did not break.

That being said the pants fit as expected and are comfortable. Probably shop around next time I make a sweatpant purchase.",Don't sweat the pants, Medium, Navy,,3
B000YFSR5G,"Fit perfectly. I bought dark grey, and they didn't fade",Five Stars, Medium, Charcoal Heather,,5
B000YFSR5G,They fit great. But they fade bad,Three Stars, Medium, Black,,3
B000YFSR5G,I only give four stars because the pants have no pockets.,Four Stars, Medium, Black,,4
B000YFSR5G,Average product.  As described.,Three Stars, XX-Large, Deep Royal,,3
B000YFSR4W,Comfortable,Five Stars, XX-Large, Deep Royal,,5
B000YFSR5G,comfy fit,Five Stars, Large, Charcoal Heather,,5
B000YFSR5G,Nice pants but too small for a medium. Return it.,Returned also, Medium, Black,,2
B000YFSR5G,Nice pants but too small for a medium. Returned it.,Returned, Medium, Navy,,2
B000YFSR5G,"Very comfy. If they had pockets, theyd be awesome! I bought these for me to lounge around in and my husband has stolen them. I might have to buy another pair!",Comfy and warm., X-Large, Charcoal Heather,,4
B000YFSR5G,"Was terribly disappointed, the pants were way too large in the legs, my husband looked like he was wearing blown up clown pants.","Was terribly disappointed, the pants were way too large in ...",,,,1
B000YFSR5G,As described.,Three Stars, XXX-Large, Light Steel,,3
B000YFSR5G,Very comfy for wearing at home.,Five Stars,,,,5
B000YFSR5G,So comfortable and soft.,Hanes pants,,,,5
B000YFSR5G,"Did not fit well. Was not comfortable. Switched to ""Fruit of the loom"". Fruit of the loom are somewhat oversized but fit well and are very comfortable.","Was not comfortable. Switched to ""Fruit of the loom""",,,,2
B000YFSR5G,"No pockets and huge, the bottom of the pants go over shoes",large with no pockets,,,,3
B000YFSR5G,Not much for wearing anything other than jeans. These fit OK for my size. Nice for lounging in around the house.,Fleece Pants,,,,4
B000YFSR5G,So comfortable and soft.,Hanes pants,,,,5
B000YFSR5G,"Did not fit well. Was not comfortable. Switched to ""Fruit of the loom"". Fruit of the loom are somewhat oversized but fit well and are very comfortable.","Was not comfortable. Switched to ""Fruit of the loom""",,,,2
B000YFSR5G,"No pockets and huge, the bottom of the pants go over shoes",large with no pockets,,,,3
B000YFSR5G,Not much for wearing anything other than jeans. These fit OK for my size. Nice for lounging in around the house.,Fleece Pants,,,,4
B000YFSR5G,"Love 'em, just the plain no frills no pockets not too heavy good ol sweatpants.",Five Stars, Medium, Navy,,5
B000YFSR4W,Good product for the price.  Used very day and no problem.,Five Stars, X-Large, Navy,,5
B000YFSR4W,Good fit even after washing in hot water to force shrinking. I have a 30 inch inseam and 34 waist and got a medium size. Note that these sweatpants are very thick so not good for warm climates. Good quality and great price.,Good fit, Medium, Light Steel,,5
B000YFSR5G,"great price for the product, though the sizes tend to be bigger (based on mens size i think).  there wasn't a size chart to refer to when i was ordering, so i ended up buying two, each at a difference size.",size runs big,,,,4
B000YFSR4W,Excellent value.  Comfortable.,Excellent Product, X-Large, Light Steel,,5
B000YFSR4W,"Typical Hanes quality. Good weight, sized just right, made pretty well",Typical Quality, XXX-Large, Deep Royal,,5
B000YFSR4W,"The waist string broke first time trying them on. Luckily I don't really need the wast string but it would be nice if it did not break.

That being said the pants fit as expected and are comfortable. Probably shop around next time I make a sweatpant purchase.",Don't sweat the pants, Medium, Navy,,3
B000YFSR4W,"Fit perfectly. I bought dark grey, and they didn't fade",Five Stars, Medium, Charcoal Heather,,5
B000YFSR4W,They fit great. But they fade bad,Three Stars, Medium, Black,,3
B000YFSR4W,I only give four stars because the pants have no pockets.,Four Stars, Medium, Black,,4
B000YFSR4W,Average product.  As described.,Three Stars, XX-Large, Deep Royal,,3
B000YFSR4W,comfy fit,Five Stars, Large, Charcoal Heather,,5
B000YFSR4W,Nice pants but too small for a medium. Return it.,Returned also, Medium, Black,,2
B000YFSR4W,Nice pants but too small for a medium. Returned it.,Returned, Medium, Navy,,2
B000YFSR4W,"Very comfy. If they had pockets, theyd be awesome! I bought these for me to lounge around in and my husband has stolen them. I might have to buy another pair!",Comfy and warm., X-Large, Charcoal Heather,,4
B000YFSR4W,"Was terribly disappointed, the pants were way too large in the legs, my husband looked like he was wearing blown up clown pants.","Was terribly disappointed, the pants were way too large in ...",,,,1
B000YFSR4W,As described.,Three Stars, XXX-Large, Light Steel,,3
B0012DR1LU,Havaiana's are THE BEST!!!,Five Stars,,,,5
B0012DR1LU,Perfect color!,I love Havaianas!,,,,5
B0014F8TIU,Should have listened to other reviews. The elastics does not hold up.,One Star, One Size, Black/White,,1
B0014F8TIU,Constantly rolls down,One Star, One Size, White/Black,,1
